Tract,Flow,Lat,Lon
T0,126,47.727466,-122.291331
T1,77,47.726673,-122.308734
T2,18,47.730744,-122.335787
T3,62,47.728213,-122.352721
T4,98,47.717678,-122.354194
T5,23,47.720704,-122.366775
T6,262,47.717065,-122.327832
T7,60,47.716134,-122.300443
T8,13,47.711602,-122.286037
T9,4,47.709381,-122.277940
T10,76,47.706435,-122.296711
T11,10,47.706579,-122.306423
T12,389,47.707498,-122.323153
T13,109,47.702743,-122.342615
T14,44,47.705858,-122.362327
T15,0,47.695719,-122.393822
T16,55,47.697634,-122.380292
T17,146,47.696627,-122.359175
T18,40,47.694097,-122.342534
T19,283,47.695513,-122.323998
T20,63,47.695681,-122.311329
T21,53,47.694821,-122.298121
T22,33,47.694885,-122.281391
T23,30,47.686148,-122.287963
T24,39,47.682968,-122.302739
T25,84,47.682682,-122.311348
T26,74,47.686776,-122.330650
T27,57,47.684794,-122.349713
T28,58,47.684992,-122.360637
T29,93,47.684907,-122.373814
T30,30,47.684716,-122.390890
T31,164,47.673431,-122.395863
T32,71,47.675633,-122.377023
T33,18,47.674315,-122.361371
T34,103,47.673769,-122.353228
T35,180,47.677209,-122.324622
T36,15,47.678812,-122.295546
T37,31,47.679231,-122.282823
T38,115,47.679508,-122.267008
T39,368,47.663257,-122.273558
T40,145,47.670162,-122.284813
T41,759,47.667279,-122.302291
T42,104,47.668868,-122.312018
T43,40,47.668371,-122.323187
T44,61,47.668580,-122.334291
T45,662,47.669097,-122.376576
T46,127,47.661279,-122.359869
T47,358,47.658082,-122.351310
T48,155,47.660694,-122.342465
T49,87,47.658220,-122.332125
T50,213,47.659629,-122.321867
T51,503,47.661620,-122.311168
T52,1340,47.657659,-122.307672
T53,254,47.652156,-122.340020
T54,88,47.643323,-122.405108
T55,131,47.653985,-122.399742
T56,173,47.653269,-122.388080
T57,259,47.640497,-122.382497
T58,179,47.647372,-122.367765
T59,205,47.643410,-122.351968
T60,198,47.644485,-122.322206
T61,88,47.638801,-122.304392
T62,70,47.635231,-122.282652
T63,75,47.628706,-122.305264
T64,78,47.629243,-122.319571
T65,463,47.634998,-122.325764
T66,690,47.632326,-122.346033
T67,163,47.636139,-122.356331
T68,40,47.634514,-122.367032
T69,154,47.627864,-122.357485
T70,762,47.622892,-122.359239
T71,1229,47.616695,-122.344875
T72,1185,47.619428,-122.332753
T73,196,47.620812,-122.324850
T74,311,47.620249,-122.316163
T75,149,47.621897,-122.307609
T76,72,47.619186,-122.297769
T77,98,47.612859,-122.288016
T78,107,47.614648,-122.308494
T79,754,47.615634,-122.349426
T80,438,47.612271,-122.344216
T81,4980,47.606620,-122.337405
T82,1780,47.610067,-122.329528
T83,397,47.611671,-122.326899
T84,577,47.614051,-122.324944
T85,1020,47.604366,-122.326128
T86,286,47.606687,-122.317223
T87,245,47.605719,-122.307424
T88,32,47.607321,-122.297209
T89,89,47.596588,-122.294969
T90,211,47.599015,-122.307994
T91,242,47.598602,-122.323248
T92,352,47.600239,-122.329293
T93,2059,47.582761,-122.323247
T94,166,47.587015,-122.311447
T95,153,47.581449,-122.292422
T96,117,47.586207,-122.388979
T97,38,47.573599,-122.408867
T98,36,47.571870,-122.395527
T99,194,47.571844,-122.382963
T100,247,47.566734,-122.368564
T101,277,47.572267,-122.307988
T102,109,47.566140,-122.285044
T103,24,47.552304,-122.269128
T104,137,47.553790,-122.282624
T105,56,47.553752,-122.302714
T106,233,47.557357,-122.385178
T107,87,47.547132,-122.387843
T108,47,47.544344,-122.368668
T109,91,47.546110,-122.356282
T110,887,47.545576,-122.321401
T111,55,47.540110,-122.292134
T112,13,47.539668,-122.276976
T113,46,47.539076,-122.269187
T114,179,47.526118,-122.322104
T115,50,47.525822,-122.348230
T116,93,47.525230,-122.362027
T117,27,47.530197,-122.375714
T118,42,47.529865,-122.386954
T119,79,47.523278,-122.282106
T120,90,47.523098,-122.267469
T121,34,47.505415,-122.257943
T122,38,47.512891,-122.380237
T123,0,47.506478,-122.382227
